Cat_Group_Code,Cat_Description
"01          ","01 Irr (Agriculture)          "
"03          ","03 Non-irr (Agriculture)      "
"04          ","04 Irr grazing (Agriculture)  "
"05          ","05 Dry grazing (Agriculture)  "
"06          ",06 Prod forest (Timber Exempt)
"07          ",07 Bare forest (Timber Exempt)
"09          ","09 Mineral land               "
"10          ","10-Non HO Eligible            "
"10H         ","10H Homesite                  "
"11          ","11 Recreational               "
"12          ","12-Non HO Eligible            "
"12H         ","12H Rural res tract           "
"13          ","13 Rural com tract            "
"14          ","14 Rural ind tract            "
"15          ","15-Non HO Eligible            "
"15H         ","15H Rural res sub             "
"16          ","16 Rural com sub              "
"17          ","17 Rural ind sub              "
"18          ","18 Other land-flooded         "
"19          ","19 Public ROW                 "
"20          ","20-Non HO Eligible            "
"20H         ","20H City res lot/ac           "
"21          ","21 City com lot/ac            "
"22          ","22 City ind lot/ac            "
"25          ","25 Common area imps           "
"25L         ","25L Common area land          "
"26          ","26-Non HO Eliglble            "
"26H         ","26H Res condo                 "
"26LH        ","26LH Res Condo land           "
"27          ","27 Comm condo                 "
"27L         ","27L Comm Condo land           "
"30          ","30 Non-res imp on 20          "
"31H         ","31H Res imp on 10             "
"32          ","32 Non-res imp on 1-12,15     "
"33          ","33 Imp on 11                  "
"34H         ","34H Res imp on 12             "
"35          ","35 Comm imp on 13             "
"36          ","36 Ind imp on 14              "
"37H         ","37H Res imp on 15             "
"38          ","38 Comm imp on 16             "
"39          ","39 Ind imp on 17              "
"41H         ","41H Res imp on 20             "
"42          ","42 Comm imp on 21             "
"43          ","43 Ind imp on 22              "
"45          ","45 Local utility              "
"46H         ","46H Mfg housing               "
"47H         ","47H Imp to mfg housing        "
"48H         ",48H Mfg House on Real Property
"49H         ","49H Nrev on leased land       "
"50H         ","50H Res imps on leased land   "
"51          ",51 Comm-Ind imps on leased lan
"51P         ","LEASEHOLD IMPS                "
"55H         ","55 Flthse-bthse               "
"56P         ","CONSTRUCTION MACH/EQUIP PPV   "
"56Q         ","CONSTRUCTION MACH/EQUIP QIE   "
"56Q2        ","CONSTRUCTION MACH/EQUIP QIE2  "
"56Q3        ","CONSTRUCTION MACH/EQUIP QIE3  "
"57P         ","STATE EQUITIES PPV            "
"58P         ","FARM MACH/TOOLS/EQUIP PPV     "
"58Q         ","FARM MACH/TOOLS/EQUIP QIE     "
"58Q2        ","FARM MACH/TOOLS/EQUIP QIE2    "
"58Q3        ","FARM MACH/TOOLS/EQUIP QIE3    "
"58Q4        ","FARM MACH/TOOLS/EQUIP QIE4    "
"59P         ","FURNITURE/FIXTURES PPV        "
"59Q         ","FURNITURE/FIXTURES QIE        "
"59Q2        ","FURNITURE/FIXTURES QIE2       "
"59Q3        ","FURNITURE/FIXTURES QIE3       "
"59Q4        ","FURNITURE/FIXTURES QIE4       "
"63P         ","LOGGING MACH/TOOLS/EQUIP PPV  "
"63Q         ","LOGGING MACH/TOOLS/EQUIP QIE  "
"63Q2        ","LOGGING MACH/TOOLS/EQUIP QIE2 "
"63Q3        ","LOGGING MACH/TOOLS/EQUIP QIE3 "
"63Q4        ","LOGGING MACH/TOOLS/EQUIP QIE4 "
"65H         ","65 Mfg housing pers           "
"66P         ","NET PROFITS OF MINES PPV      "
"67          ","67 Operating prop             "
"67L         ","67L Operating prop land       "
"67P         ","OPERATING PROP PPV            "
"68P         ","MISC MACH/TOOLS/EQUIP PPV     "
"68Q         ","MISC MACH/TOOLS/EQUIP QIE     "
"68Q2        ","MISC MACH/TOOLS/EQUIP QIE2    "
"68Q3        ","MISC MACH/TOOLS/EQUIP QIE3    "
"68Q4        ","MISC MACH/TOOLS/EQUIP QIE4    "
"69P         ","REC VEHICLES (UNLICENSED) PPV "
"69Q         ","REC VEHICLES (UNLICENSED) QIE "
"69Q2        ",REC VEHICLES (UNLICENSED) QIE2
"69Q3        ",REC VEHICLES (UNLICENSED) QIE3
"69Q4        ",REC VEHICLES (UNLICENSED) QIE4
"70P         ","RESERVATIONS & EASEMENTS PPV  "
"71P         ","SIGNS & SIGNBOARDS PPV        "
"71Q         ","SIGNS & SIGNBOARDS QIE        "
"71Q2        ","SIGNS & SIGNBOARDS QIE2       "
"71Q3        ","SIGNS & SIGNBOARDS QIE3       "
"71Q4        ","SIGNS & SIGNBOARDS QIE4       "
"72P         ","TANKS ,VESSELS CONTAINERS PPV "
"72Q         ","TANKS,VESSELS CONTAINERS QIE  "
"72Q2        ","TANKS,VESSELS CONTAINERS QIE2 "
"72Q3        ","TANKS,VESSELS CONTAINERS QIE3 "
"72Q4        ","TANKS,VESSELS CONTAINERS QIE4 "
"75P         ","QIE                           "
"81          ","81 Exempt property            "
"81L         ","81L Exempt property land      "
"81P         ","81P Exempt Personal Property  "
"94          ","94 POLLUTION CONTROL EXEMPT   "
"98          ","98 Non-Allocated Impv         "
"99          ","99 Non-Allocated Land         "
"99P         ","Unallocated PPV               "
