lrsn,CadValue_TotalAssessed
3,373964.0000000000
10,474962.0000000000
12,255196.0000000000
17,201826.0000000000
19,257204.0000000000
26,1050602.0000000000
28,175017.0000000000
35,191390.0000000000
37,182790.0000000000
42,571985.0000000000
44,1274926.0000000000
51,4188.0000000000
53,300375.0000000000
60,1370.0000000000
62,290611.0000000000
67,597490.0000000000
69,509129.0000000000
71,405255.0000000000
76,690243.0000000000
85,706444.0000000000
87,1025105.0000000000
92,361740.0000000000
94,473855.0000000000
96,323841.0000000000
101,369765.0000000000
103,574729.0000000000
117,418222.0000000000
119,881613.0000000000
121,605468.0000000000
126,708858.0000000000
128,288463.0000000000
137,988910.0000000000
144,973797.0000000000
146,961086.0000000000
151,848400.0000000000
153,907960.0000000000
160,1086395.0000000000
162,814245.0000000000
169,822978.0000000000
171,7262875.0000000000
176,1289353.0000000000
178,845846.0000000000
185,1027356.0000000000
187,1066271.0000000000
194,1167169.0000000000
196,1122780.0000000000
201,867454.0000000000
203,1757222.0000000000
210,1146440.0000000000
212,1158642.0000000000
219,739610.0000000000
221,1259492.0000000000
226,1458040.0000000000
228,1212347.0000000000
235,1175771.0000000000
237,1540443.0000000000
244,1066799.0000000000
246,2083894.0000000000
251,961439.0000000000
253,1158159.0000000000
260,1116617.0000000000
262,1094931.0000000000
269,1351586.0000000000
271,665330.0000000000
276,644170.0000000000
278,656628.0000000000
285,959159.0000000000
287,638582.0000000000
294,1592932.0000000000
296,5599.0000000000
301,1874768.0000000000
303,1517552.0000000000
305,847552.0000000000
310,5610.0000000000
312,1097392.0000000000
319,711867.0000000000
321,19831.0000000000
326,479257.0000000000
328,475327.0000000000
330,478622.0000000000
335,478008.0000000000
337,475227.0000000000
344,475202.0000000000
346,476071.0000000000
351,472281.0000000000
353,655608.0000000000
355,478272.0000000000
360,466020.0000000000
362,430956.0000000000
369,548516.0000000000
371,748640.0000000000
387,539012.0000000000
394,489056.0000000000
396,253150.0000000000
405,633210.0000000000
410,154000.0000000000
412,437000.0000000000
421,370074.0000000000
428,140000.0000000000
430,300000.0000000000
435,1000.0000000000
437,367714.0000000000
444,876572.0000000000
446,609982.0000000000
453,620492.0000000000
455,563912.0000000000
460,689107.0000000000
462,269548.0000000000
469,298398.0000000000
471,285201.0000000000
480,736751.0000000000
485,657575.0000000000
487,637070.0000000000
