lrsn,CadValue_NetTax
3,249899.0000000000
10,474962.0000000000
12,255196.0000000000
17,201826.0000000000
19,257204.0000000000
26,925602.0000000000
28,175017.0000000000
35,191390.0000000000
37,182790.0000000000
42,446985.0000000000
44,1274926.0000000000
51,4188.0000000000
53,300375.0000000000
60,1370.0000000000
62,290611.0000000000
67,472490.0000000000
69,384129.0000000000
71,280255.0000000000
76,565243.0000000000
85,581444.0000000000
87,900105.0000000000
92,236740.0000000000
94,355391.0000000000
96,198841.0000000000
101,369765.0000000000
103,574729.0000000000
117,418222.0000000000
119,756613.0000000000
121,480468.0000000000
126,583858.0000000000
128,288463.0000000000
137,863910.0000000000
144,848797.0000000000
146,836086.0000000000
151,723400.0000000000
153,782960.0000000000
160,961395.0000000000
162,689245.0000000000
169,697978.0000000000
171,0.0000000000
176,1164353.0000000000
178,720846.0000000000
185,902356.0000000000
187,941271.0000000000
194,1042169.0000000000
196,997780.0000000000
201,742454.0000000000
203,1632222.0000000000
210,1021440.0000000000
212,1033642.0000000000
219,739610.0000000000
221,1134492.0000000000
226,1333040.0000000000
228,1087347.0000000000
235,1050771.0000000000
237,1415443.0000000000
244,941799.0000000000
246,1958894.0000000000
251,836439.0000000000
253,1033159.0000000000
260,991617.0000000000
262,969931.0000000000
269,1226586.0000000000
271,665330.0000000000
276,644170.0000000000
278,656628.0000000000
285,834159.0000000000
287,638582.0000000000
294,1467932.0000000000
296,5599.0000000000
301,1749768.0000000000
303,1517552.0000000000
305,722552.0000000000
310,5610.0000000000
312,972392.0000000000
319,586867.0000000000
321,19831.0000000000
326,0.0000000000
328,0.0000000000
330,0.0000000000
335,0.0000000000
337,0.0000000000
344,0.0000000000
346,0.0000000000
351,0.0000000000
353,530608.0000000000
355,478272.0000000000
360,466020.0000000000
362,430956.0000000000
369,423516.0000000000
371,623640.0000000000
387,414012.0000000000
394,364056.0000000000
396,253150.0000000000
405,508210.0000000000
410,154000.0000000000
412,437000.0000000000
421,370074.0000000000
428,140000.0000000000
430,300000.0000000000
435,1000.0000000000
437,242714.0000000000
444,751572.0000000000
446,609982.0000000000
453,620492.0000000000
455,563912.0000000000
460,689107.0000000000
462,0.0000000000
469,173398.0000000000
471,285201.0000000000
480,736751.0000000000
485,657575.0000000000
487,637070.0000000000
494,483790.0000000000
496,359200.0000000000
503,60480.0000000000
505,120960.0000000000
510,60480.0000000000
512,860027.0000000000
519,792245.0000000000
521,554630.0000000000
528,493555.0000000000
535,444994.0000000000
537,1606456.0000000000
544,794266.0000000000
546,1280306.0000000000
555,765310.0000000000
560,721030.0000000000
562,677534.0000000000
564,832840.0000000000
569,742212.0000000000
571,757380.0000000000
578,1304452.0000000000
580,810840.0000000000
585,457785.0000000000
587,554805.0000000000
589,244262.0000000000
594,171000.0000000000
596,181000.0000000000
603,474225.0000000000
605,991910.0000000000
612,254550.0000000000
614,253440.0000000000
619,470520.0000000000
621,1172590.0000000000
628,372520.0000000000
630,280780.0000000000
637,742530.0000000000
639,610850.0000000000
644,1383184.0000000000
646,652235.0000000000
653,432318.0000000000
655,479512.0000000000
662,661492.0000000000
664,438245.0000000000
669,5483.0000000000
671,296932.0000000000
678,308371.0000000000
680,331512.0000000000
687,214728.0000000000
689,288222.0000000000
694,341818.0000000000
696,439040.0000000000
703,179630.0000000000
705,596901.0000000000
712,389090.0000000000
714,308100.0000000000
719,171764.0000000000
721,142424.0000000000
728,171200.0000000000
730,138370.0000000000
737,246404.0000000000
739,306074.0000000000
744,214658.0000000000
746,105464.0000000000
753,383050.0000000000
755,265213.0000000000
762,363720.0000000000
764,417930.0000000000
769,346947.0000000000
771,0.0000000000
778,466552.0000000000
780,633064.0000000000
787,523098.0000000000
789,462761.0000000000
794,445837.0000000000
796,518106.0000000000
798,737251.0000000000
803,702503.0000000000
805,244297.0000000000
812,238275.0000000000
814,198757.0000000000
819,284400.0000000000
821,727340.0000000000
823,735260.0000000000
828,1366150.0000000000
830,706170.0000000000
837,175000.0000000000
839,1280370.0000000000
844,364578.0000000000
846,215154.0000000000
848,219672.0000000000
853,690320.0000000000
855,555283.0000000000
2,454093.0000000000
4,324960.0000000000
9,196520.0000000000
11,193877.0000000000
18,571210.0000000000
20,119700.0000000000
27,187673.0000000000
29,176000.0000000000
34,179988.0000000000
36,245162.0000000000
43,746681.0000000000
52,497920.0000000000
54,564890.0000000000
59,0.0000000000
61,308674.0000000000
68,335592.0000000000
70,332134.0000000000
93,237895.0000000000
95,359728.0000000000
102,299135.0000000000
104,854653.0000000000
118,699361.0000000000
120,656684.0000000000
127,459599.0000000000
129,876419.0000000000
134,1106448.0000000000
143,897733.0000000000
145,816092.0000000000
152,830625.0000000000
154,958608.0000000000
159,897270.0000000000
161,887408.0000000000
168,784116.0000000000
170,848191.0000000000
177,990309.0000000000
179,1155695.0000000000
184,1232958.0000000000
186,762404.0000000000
188,1269371.0000000000
193,575897.0000000000
195,885099.0000000000
202,1415555.0000000000
204,1023560.0000000000
209,800677.0000000000
211,919383.0000000000
213,1105115.0000000000
218,1083371.0000000000
220,1481045.0000000000
227,1005847.0000000000
229,1024134.0000000000
234,1362794.0000000000
236,861263.0000000000
238,1231973.0000000000
243,937234.0000000000
245,1018589.0000000000
252,900189.0000000000
254,1208939.0000000000
261,980941.0000000000
263,936675.0000000000
268,887800.0000000000
270,800748.0000000000
277,835843.0000000000
279,505613.0000000000
286,941503.0000000000
288,675886.0000000000
293,699990.0000000000
295,654916.0000000000
302,797490.0000000000
304,1429079.0000000000
311,99652.0000000000
313,1052386.0000000000
318,432756.0000000000
320,228412.0000000000
327,0.0000000000
329,0.0000000000
336,0.0000000000
338,0.0000000000
343,0.0000000000
345,0.0000000000
352,0.0000000000
354,321952.0000000000
361,299440.0000000000
363,433068.0000000000
368,407724.0000000000
370,419736.0000000000
377,501484.0000000000
379,562980.0000000000
388,414012.0000000000
393,340644.0000000000
395,559212.0000000000
411,100000.0000000000
418,450130.0000000000
420,70000.0000000000
429,100000.0000000000
436,1000.0000000000
438,443027.0000000000
443,596642.0000000000
445,436492.0000000000
447,820202.0000000000
452,583232.0000000000
454,9442.0000000000
461,476614.0000000000
463,118966.0000000000
468,879801.0000000000
470,204081.0000000000
472,265857.0000000000
477,753923.0000000000
479,788206.0000000000
486,697528.0000000000
488,709413.0000000000
495,153040.0000000000
497,402880.0000000000
502,164144.0000000000
504,180790.0000000000
511,535075.0000000000
513,726417.0000000000
520,856035.0000000000
522,704409.0000000000
527,647492.0000000000
529,600254.0000000000
536,520603.0000000000
538,672632.0000000000
545,722076.0000000000
547,990965.0000000000
554,970220.0000000000
563,247280.0000000000
570,669080.0000000000
572,689760.0000000000
579,620020.0000000000
586,565865.0000000000
588,387785.0000000000
595,498918.0000000000
597,445075.0000000000
602,106875.0000000000
604,887520.0000000000
611,284210.0000000000
613,128250.0000000000
620,1115990.0000000000
622,246900.0000000000
627,127040.0000000000
629,42750.0000000000
636,736900.0000000000
638,821760.0000000000
645,949363.0000000000
647,699695.0000000000
652,423611.0000000000
654,471402.0000000000
661,381073.0000000000
663,423713.0000000000
670,647352.0000000000
672,345972.0000000000
677,326436.0000000000
679,260971.0000000000
681,138750.0000000000
686,238023.0000000000
688,254100.0000000000
695,299822.0000000000
697,319510.0000000000
702,300570.0000000000
704,482721.0000000000
706,416940.0000000000
711,307950.0000000000
713,62640.0000000000
720,45000.0000000000
722,174044.0000000000
727,140220.0000000000
729,126300.0000000000
731,139010.0000000000
736,127675.0000000000
738,294576.0000000000
745,255701.0000000000
747,254531.0000000000
754,308270.0000000000
756,394100.0000000000
761,220738.0000000000
770,464932.0000000000
772,721821.0000000000
779,363634.0000000000
781,385000.0000000000
786,545561.0000000000
788,425758.0000000000
795,511978.0000000000
797,874955.0000000000
804,623254.0000000000
806,402891.0000000000
811,261408.0000000000
813,262695.0000000000
820,842760.0000000000
822,938650.0000000000
829,959200.0000000000
831,765160.0000000000
836,535530.0000000000
838,609370.0000000000
845,336321.0000000000
847,328930.0000000000
854,539863.0000000000
856,901583.0000000000
861,341871.0000000000
863,584105.0000000000
870,521475.0000000000
872,242723.0000000000
879,403710.0000000000
881,229148.0000000000
886,414894.0000000000
13,191520.0000000000
14,181440.0000000000
15,208656.0000000000
16,646646.0000000000
30,334380.0000000000
31,1063178.0000000000
